tmdb_id,tipo,título,público,score,votos,fecha,géneros,sinopsis,popularidad,idioma_original,imagen_url
94954,serie,Hazbin Hotel,TV-MA,8.6,1534,2024-01-18,"['Animación', 'Comedia', 'Drama', 'Sci-Fi & Fantasy']","En un intento por encontrar una alternativa no violenta para reducir la superpoblación del infierno, la hija de Lucifer abre un hotel de rehabilitación que ofrece a un grupo de demonios inadaptados una oportunidad de redención.",39.5728,en,https://image.tmdb.org/t/p/w500/aVYHMW8pdzJ9qG1OGRMKyGy9xor.jpg
61617,serie,Más allá del jardín,TV-PG,8.6,1708,2014-11-03,"['Misterio', 'Sci-Fi & Fantasy', 'Animación', 'Familia', 'Comedia']","Los hermanos Wirt y Gregory viven apasionantes aventuras cuando se pierden en un tenebroso bosque, que combina varios elementos de los cuentos de hadas, mientras van de camino de vuelta a casa.",13.3305,en,https://image.tmdb.org/t/p/w500/69Wxg9xJjynDViaf0SNhk3PnCn9.jpg
40075,serie,Gravity Falls,TV-Y7,8.6,3405,2012-06-15,"['Animación', 'Action & Adventure', 'Comedia', 'Misterio', 'Sci-Fi & Fantasy', 'Familia']","Los hermanos mellizos Dipper y Mabel Pines tienen una aventura inesperada cuando pasan el verano ayudando a su tío abuelo Stan a atravesar una trampa turística en la misteriosa ciudad de Gravity Falls, Oregon.",57.762,en,https://image.tmdb.org/t/p/w500/gX9NP6pWG47oAkq723TfxtkG4Pr.jpg
3498,serie,Los Hechiceros de Waverly Place,TV-G,8.6,1162,2007-10-12,"['Comedia', 'Sci-Fi & Fantasy', 'Kids']","Se trata de una familia ítalo-mexicana de apellido Russo: Alexandra ""Alex"" Margarita Russo, su hermano mayor Justin Vizenzo Peppe Russo, su hermano menor Maximiliano ""Max"" Russo. Los tres hermanos Russo son magos en entrenamiento, que viven junto a su padre italoamericano Jerry, un exmago, y su madre mexicana-estadounidense, Theresa, una mortal. La mejor amiga de Alex es Harper Finkle. Normalmente Justin discute con Alex y, a veces hasta terminan compitiendo. Max es un poco distraído, pero en uno de los capítulos se supo defender, lo cual dice que no es tan torpe. Alex es la que siempre quiere ganar, pero a veces se excede. Justin es considerado el ""listo"" de la familia, pero en varios capítulos se prueba lo contrario. Harper se considera la mejor amiga de Alex, aunque en algunos episodios se exhiben una que otra discusión entre ellas.",30.6907,en,https://image.tmdb.org/t/p/w500/bJisSc7HGAfWgg1M7916CMfSZTX.jpg
3854,serie,El Espectacular Hombre-Araña,TV-Y7,8.6,886,2008-03-08,"['Action & Adventure', 'Animación', 'Kids', 'Familia']","La décima serie de televisión sobre Spiderman recoge la mitología sobre el original lanza telarañas al principio de su aventura como héroe, como un joven algo especial de 16 años que inicia sus estudios de secundaria. Habiendo pasado el verano luchando contra criminales comunes con sus recién encontrados poderes, Peter Parker debe guardar su identidad secreta y enfrentarse a los nuevos super-villanos.",19.0644,en,https://image.tmdb.org/t/p/w500/957mnVq6w3xIZwhO1isb4RWPatr.jpg
67915,serie,Goblin: El Solitario ser Inmortal,TV-14,8.597,3030,2016-12-02,"['Drama', 'Sci-Fi & Fantasy', 'Comedia']","Goblin, también conocida en español como El guardián: El dios solitario y grande, ​ es una serie de televisión surcoreana de drama romántico y fantasía, transmitida por TVN desde el 2 de diciembre de 2016 hasta el 21 de enero de 2017, protagonizada por Gong Yoo, Kim Go-eun, Lee Dong Wook, Yoo In-na y Yook Sungjae.​​",26.529,ko,https://image.tmdb.org/t/p/w500/qZMEiTsNlCQV27hHQE27ZtlPWyv.jpg
2316,serie,La Oficina,TV-14,8.592,5048,2005-03-24,['Comedia'],"La vida diaria de los empleados de una oficina de una compañía papelera localizada en Scranton, Pensilvania. Corrosivo retrato de los miembros de una empresa. Versión americana de una popular serie británica de la BBC del mismo título.",192.9733,en,https://image.tmdb.org/t/p/w500/xMtiEEQ8ajtTkEvpftrIGsdmonz.jpg
4613,serie,Hermanos de Sangre,TV-MA,8.586,4069,2001-09-09,"['Drama', 'War & Politics']","Basada en el bestseller ""Band Of Brothers"", de Stephen E. Ambrose. Narra la historia de la Easy Company, un batallón estadounidense del regimiento 506 de paracaidistas, que luchó en Europa durante la II Guerra Mundial (1939-1945). Incluye entrevistas a los supervivientes, recuerdos de los periodistas y cartas de los soldados.",37.8893,en,https://image.tmdb.org/t/p/w500/kq9KiusAWPPITQrGovbgdhD9R1R.jpg
46896,serie,Los Originales,TV-14,8.585,3551,2013-10-03,"['Sci-Fi & Fantasy', 'Drama', 'Misterio']","Se concentra sobre Klaus y los originales de ""Diarios de Vampiros"" (serie de TV de la cual es un spin-off). Klaus regresa a New Orleans y se reencuentra con su diabólico y antiguo protegido Marcel. En tanto, Camille, una estudiante de psicología, despierta el interés de Klaus.",56.296,en,https://image.tmdb.org/t/p/w500/ztefVQYH97CcZ2WHYq1u7f2m6bR.jpg
82728,serie,Bluey,TV-Y,8.577,666,2018-10-01,"['Animación', 'Comedia', 'Kids']","Bluey es una perrita de seis años incansable. Esta pastor ganadero australiano azul convierte el día a día con su familia en una aventura extraordinaria y desarrolla así tanto su imaginación como su capacidad mental, física y emocional.",72.6653,en,https://image.tmdb.org/t/p/w500/mspONkqgKmRuwc2wOYqs1MdwZNB.jpg
